bbref_id,stint_name,stint_seasons,candidate_nba_ids,candidate_names
brownch02,C. Brown,2021|2022|2024,1629718|1630602,Charlie Brown Jr.|Chaundee Brown Jr.
brownch05,C. Brown,2022,1629718|1630602,Charlie Brown Jr.|Chaundee Brown Jr.
champju01,J. Champagnie,2022|2023|2024|2025,1630577|1630551,Julian Champagnie|Justin Champagnie
champju02,J. Champagnie,2023|2024|2025,1630577|1630551,Julian Champagnie|Justin Champagnie
chrisma02,M. Christie,2023|2024|2025,1627737|1631108,Marquese Chriss|Max Christie
greenja02,J. Green,2021|2022|2023|2024|2025,203210|1630224|1629750,JaMychal Green|Jalen Green|Javonte Green
greenja05,J. Green,2022|2023|2024|2025,203210|1630224|1629750,JaMychal Green|Jalen Green|Javonte Green
gueyemo01,M. Gueye,2024,1631243|1631338,Mouhamed Gueye|Mouhamadou Gueye
gueyemo02,M. Gueye,2024|2025,1631243|1631338,Mouhamed Gueye|Mouhamadou Gueye
halljo01,J. Hall,2021,1631160|1630221,Jordan Hall|Josh Hall
halljo02,J. Hall,2023,1631160|1630221,Jordan Hall|Josh Hall
johnsja05,J. Johnson,2022|2023|2024|2025,1630552|201949,Jalen Johnson|James Johnson
johnske04,K. Johnson,2021|2022|2023|2024|2025,1629640|1630553|1641749|1642352,Keldon Johnson|Keon Johnson|Keyontae Johnson|Keshad Johnson
johnske07,K. Johnson,2022|2023|2024|2025,1629640|1630553|1641749|1642352,Keldon Johnson|Keon Johnson|Keyontae Johnson|Keshad Johnson
johnske08,K. Johnson,2024,1629640|1630553|1641749|1642352,Keldon Johnson|Keon Johnson|Keyontae Johnson|Keshad Johnson
johnske10,K. Johnson,2025,1629640|1630553|1641749|1642352,Keldon Johnson|Keon Johnson|Keyontae Johnson|Keshad Johnson
joneska01,K. Jones,2022|2023|2025,1642880|1630539,Kam Jones|Kai Jones
martike03,K. Martin,2021|2022,2030|1629103,Kenyon Martin Jr.|Kelan Martin
martike04,K. Martin,2021|2022|2023|2024|2025,2030|1629103,Kenyon Martin Jr.|Kelan Martin
mcdanja01,J. McDaniels,2021|2022|2023|2024|2025,1630183|1629667,Jaden McDaniels|Jalen McDaniels
mcdanja02,J. McDaniels,2021|2022|2023|2024|2025,1630183|1629667,Jaden McDaniels|Jalen McDaniels
pickeja01,J. Pickett,2022,1630691|1629618,Jamorko Pickett|Jalen Pickett
pickeja02,J. Pickett,2024|2025,1630691|1629618,Jamorko Pickett|Jalen Pickett
robinje02,J. Robinson-Earl,2022|2023|2024|2025,1629010|1630526,Jerome Robinson|Jeremiah Robinson-Earl
smithja04,J. Smith,2021|2022|2023|2024|2025,1631095|1630188,Jabari Smith Jr.|Jalen Smith
smithja05,J. Smith,2023|2024|2025,1631095|1630188,Jabari Smith Jr.|Jalen Smith
walkeja01,J. Walker,2023|2024|2025,1641716|1631133,Jarace Walker|Jabari Walker
walkeja02,J. Walker,2024|2025,1641716|1631133,Jarace Walker|Jabari Walker
willija06,J. Williams,2023|2024|2025,1631114|1631119,Jalen Williams|Jaylin Williams
willija07,J. Williams,2023|2024|2025,1631114|1631119,Jalen Williams|Jaylin Williams
willima07,M. Williams,2023|2024|2025,1642013|1631109,Malik Williams|Mark Williams
willima11,M. Williams,2024,1642013|1631109,Malik Williams|Mark Williams
willizi01,Z. Williamson,2021|2023|2024|2025,1629627|1630533,Zion Williamson|Ziaire Williams
willizi02,Z. Williams,2022|2023|2024|2025,1629627|1630533,Zion Williamson|Ziaire Williams
